yhat,lb,ub,AI,before_n,cite_n,model,discipline,month,,,,,
2.975572,2.076412,3.874732,0,,,m1,hep-ph,full,,,,,
5.585992,4.417342,6.754643,0.5,,,m1,hep-ph,full,,,,,
6.986191,5.735464,8.236918,1,,,m1,hep-ph,full,,,,,
8.200424,6.875493,9.525355,1.5,,,m1,hep-ph,full,,,,,
9.554142,7.964832,11.14345,2,,,m1,hep-ph,full,1.377003121,,,,
11.12196,8.970671,13.27324,2.5,,,m1,hep-ph,full,0.818872879,,,,
12.94582,9.897449,15.9942,3,,,m1,hep-ph,full,0.376127184,,,,
15.06862,10.75923,19.37801,3.5,,,m1,hep-ph,full,,,,,
17.53948,11.55452,23.52445,4,,,m1,hep-ph,full,,,,,
20.4155,12.26473,28.56627,4.5,,,m1,hep-ph,full,,,,,
23.76311,12.85626,34.66997,5,,,m1,hep-ph,full,,,,,
2.434395,1.72203,3.146761,0,0,,m2,hep-ph,full,,,,,
7.250609,5.686561,8.814657,0,2,,m2,hep-ph,full,,,,,
15.78542,12.50572,19.06513,0,5,,m2,hep-ph,full,,,,,
4.221182,3.380219,5.062145,0.5,0,,m2,hep-ph,full,,,,,
8.166288,6.769667,9.56291,0.5,2,,m2,hep-ph,full,,,,,
17.77896,14.6826,20.87532,0.5,5,,m2,hep-ph,full,,,,,
5.319856,4.37255,6.267162,1,0,,m2,hep-ph,full,,,,,
9.197609,7.915439,10.47978,1,2,,m2,hep-ph,full,,,,,
20.02427,16.86054,23.18799,1,5,,m2,hep-ph,full,,,,,
6.132628,5.085774,7.179482,1.5,0,,m2,hep-ph,full,,,,,
10.35917,9.005142,11.71321,1.5,2,,m2,hep-ph,full,,,,,
22.55313,18.8431,26.26316,1.5,5,,m2,hep-ph,full,,,,,
6.938359,5.695593,8.181126,2,0,,m2,hep-ph,full,,,,,
11.66743,9.928877,13.40599,2,2,,m2,hep-ph,full,,,,,
25.40136,20.54002,30.2627,2,5,,m2,hep-ph,full,,,,,
7.821363,6.220659,9.422067,2.5,0,,m2,hep-ph,full,,,,,
13.14091,10.68985,15.59198,2.5,2,,m2,hep-ph,full,,,,,
28.6093,21.98206,35.23654,2.5,5,,m2,hep-ph,full,,,,,
8.810578,6.670293,10.95086,3,0,,m2,hep-ph,full,,,,,
14.80048,11.33438,18.26658,3,2,,m2,hep-ph,full,,,,,
32.22237,23.21388,41.23086,3,5,,m2,hep-ph,full,,,,,
9.923578,7.054739,12.79242,3.5,0,,m2,hep-ph,full,,,,,
16.66963,11.88555,21.45371,3.5,2,,m2,hep-ph,full,,,,,
36.29173,24.24807,48.33539,3.5,5,,m2,hep-ph,full,,,,,
11.17689,7.376745,14.97704,4,0,,m2,hep-ph,full,,,,,
18.77484,12.34314,25.20654,4,2,,m2,hep-ph,full,,,,,
40.87501,25.06718,56.68284,4,5,,m2,hep-ph,full,,,,,
12.58844,7.630893,17.54598,4.5,0,,m2,hep-ph,full,,,,,
21.14591,12.69256,29.59926,4.5,2,,m2,hep-ph,full,,,,,
46.03711,25.63132,66.4429,4.5,5,,m2,hep-ph,full,,,,,
14.17823,7.805104,20.55136,5,0,,m2,hep-ph,full,,,,,
23.81643,12.90928,34.72357,5,2,,m2,hep-ph,full,,,,,
51.85114,25.88216,77.82012,5,5,,m2,hep-ph,full,,,,,
6.565865,5.345332,7.786398,0,,,m1,astro,full,,,,,
9.089091,7.61878,10.5594,0.5,,,m1,astro,full,,,,,
10.51327,8.95469,12.07185,1,,,m1,astro,full,,,,,
11.54096,10.02225,13.05968,1.5,,,m1,astro,full,,,,,
12.5226,10.9683,14.0769,2,,,m1,astro,full,1.171081782,,,,
13.5563,11.78056,15.33204,2.5,,,m1,astro,full,0.775212706,5,,,
14.66876,12.4559,16.88161,3,,,m1,astro,full,0.418514555,,,,
15.87114,13.02174,18.72054,3.5,,,m1,astro,full,,,,,
17.1718,13.5054,20.8382,4,,,m1,astro,full,,,,,
18.57899,13.92222,23.23576,4.5,,,m1,astro,full,,,,,
20.10148,14.27757,25.92539,5,,,m1,astro,full,,,,,
5.69131,4.866611,6.516008,0,0,,m2,astro,full,,,,,
12.54028,9.694683,15.38588,0,2,,m2,astro,full,,,,,
23.43745,13.15138,33.72351,0,5,,m2,astro,full,,,,,
7.937934,6.809751,9.066117,0.5,0,,m2,astro,full,,,,,
13.42225,10.40524,16.43925,0.5,2,,m2,astro,full,,,,,
24.91339,14.16445,35.66232,0.5,5,,m2,astro,full,,,,,
9.201956,7.899634,10.50428,1,0,,m2,astro,full,,,,,
14.29031,11.18114,17.39947,1,2,,m2,astro,full,,,,,
26.48199,15.22403,37.73995,1,5,,m2,astro,full,,,,,
10.0055,8.682515,11.32848,1.5,0,,m2,astro,full,,,,,
15.19567,11.99702,18.39431,1.5,2,,m2,astro,full,,,,,
28.14929,16.32806,39.97052,1.5,5,,m2,astro,full,,,,,
10.69319,9.34875,12.03762,2,0,,m2,astro,full,,,,,
16.15376,12.83765,19.46986,2,2,,m2,astro,full,,,,,
29.92154,17.47438,42.3687,2,5,,m2,astro,full,,,,,
11.38075,9.97322,12.78828,2.5,0,,m2,astro,full,,,,,
17.17112,13.69447,20.64777,2.5,2,,m2,astro,full,,,,,
31.80537,18.90599,44.70476,2.5,5,,m2,astro,full,,,,,
12.10079,10.57497,13.6266,3,0,,m2,astro,full,,,,,
18.25228,14.56087,21.94369,3,2,,m2,astro,full,,,,,
33.8078,19.8836,47.73201,3,5,,m2,astro,full,,,,,
12.8635,11.15772,14.56929,3.5,0,,m2,astro,full,,,,,
19.40144,15.43134,23.37155,3.5,2,,m2,astro,full,,,,,
35.93631,21.14036,50.73225,3.5,5,,m2,astro,full,,,,,
13.67359,11.72353,15.62365,4,0,,m2,astro,full,,,,,
20.62294,16.30157,24.94432,4,2,,m2,astro,full,,,,,
38.19882,22.42724,53.97039,4,5,,m2,astro,full,,,,,
14.53451,12.27536,16.79367,4.5,0,,m2,astro,full,,,,,
21.92134,17.16869,26.674,4.5,2,,m2,astro,full,,,,,
40.60377,23.74038,57.46717,4.5,5,,m2,astro,full,,,,,
15.4496,12.81659,18.08262,5,0,,m2,astro,full,,,,,
23.30149,18.03047,28.5725,5,2,,m2,astro,full,,,,,
43.16014,25.07567,61.24462,5,5,,m2,astro,full,,,,,
2.719175,2.051262,3.387088,0,,,m1,cond,full,,,,,
4.10528,3.482976,4.727584,0.5,,,m1,cond,full,,,,,
4.778826,4.060312,5.49734,1,,,m1,cond,full,,,,,
5.365251,4.614562,6.115941,1.5,,,m1,cond,full,,,,,
5.999604,5.191634,6.807574,2,,,m1,cond,full,1.124819947,,,,
6.70609,5.772713,7.639468,2.5,,,m1,cond,full,0.457647916,,,,
7.495429,6.347869,8.642988,3,,,m1,cond,full,0.118801546,,,,
8.377635,6.917919,9.837351,3.5,,,m1,cond,full,,,,,
9.363671,7.487832,11.23951,4,,,m1,cond,full,,,,,
10.46576,8.061821,12.8697,4.5,,,m1,cond,full,,,,,
11.69757,8.641801,14.75334,5,,,m1,cond,full,,,,,
2.407707,1.824991,2.990423,0,0,,m2,cond,full,,,,,
8.837202,7.617632,10.05677,0,2,,m2,cond,full,,,,,
34.0427,23.8623,44.2231,0,5,,m2,cond,full,,,,,
3.70049,3.142889,4.25809,0.5,0,,m2,cond,full,,,,,
9.752902,8.598157,10.90765,0.5,2,,m2,cond,full,,,,,
37.57017,26.21158,48.92876,0.5,5,,m2,cond,full,,,,,
4.336814,3.672301,5.001327,1,0,,m2,cond,full,,,,,
10.76349,9.600079,11.92689,1,2,,m2,cond,full,,,,,
41.46315,28.61169,54.3146,1,5,,m2,cond,full,,,,,
4.827414,4.119938,5.534891,1.5,0,,m2,cond,full,,,,,
11.87879,10.57544,13.18213,1.5,2,,m2,cond,full,,,,,
45.75951,31.04343,60.47559,1.5,5,,m2,cond,full,,,,,
5.333835,4.573875,6.093794,2,0,,m2,cond,full,,,,,
13.10965,11.49951,14.7198,2,2,,m2,cond,full,,,,,
50.50106,33.48955,67.51256,2,5,,m2,cond,full,,,,,
5.887445,5.025278,6.749611,2.5,0,,m2,cond,full,,,,,
14.46806,12.38031,16.55581,2.5,2,,m2,cond,full,,,,,
55.73392,35.93396,75.53387,2.5,5,,m2,cond,full,,,,,
6.497633,5.465786,7.529479,3,0,,m2,cond,full,,,,,
15.96722,13.23635,18.6981,3,2,,m2,cond,full,,,,,
61.509,38.36023,84.65777,3,5,,m2,cond,full,,,,,
7.17093,5.894725,8.447135,3.5,0,,m2,cond,full,,,,,
17.62173,14.08109,21.16237,3.5,2,,m2,cond,full,,,,,
67.88249,40.75009,95.0149,3.5,5,,m2,cond,full,,,,,
7.913977,6.315099,9.512855,4,0,,m2,cond,full,,,,,
19.44767,14.92086,23.97449,4,2,,m2,cond,full,,,,,
74.9164,43.08192,106.7509,4,5,,m2,cond,full,,,,,
8.734014,6.729909,10.73812,4.5,0,,m2,cond,full,,,,,
21.46282,15.75666,27.16898,4.5,2,,m2,cond,full,,,,,
82.67915,45.32956,120.0287,4.5,5,,m2,cond,full,,,,,
9.639023,7.14072,12.13733,5,0,,m2,cond,full,,,,,
23.68677,16.58565,30.78789,5,2,,m2,cond,full,,,,,
91.24627,47.46107,135.0315,5,5,,m2,cond,full,,,,,
4.171942,3.545248,4.798636,0.5,,0,m3,hep-ph,full,,,,,
8.568811,6.125959,11.01166,4,,0,m3,hep-ph,full,,,,,
4.803686,4.136876,5.470497,0.5,,3,m3,hep-ph,full,,,,,
10.34277,7.934305,12.75123,4,,3,m3,hep-ph,full,,,,,
5.531094,4.621657,6.440531,0.5,,6,m3,hep-ph,full,,,,,
12.48398,8.568734,16.39922,4,,6,m3,hep-ph,full,,,,,
6.368651,5.004768,7.732534,0.5,,9,m3,hep-ph,full,,,,,
15.06847,8.103119,22.03383,4,,9,m3,hep-ph,full,,,,,
