yhat,lb,ub,AI,before_n,cite_n,model,discipline,month,,,,,
2.608337,1.645825,3.57085,0,,,m1,hep-ph,m6,,,,,
4.509231,3.245033,5.773429,0.5,,,m1,hep-ph,m6,,,,,
5.531391,4.340223,6.72256,1,,,m1,hep-ph,m6,,,,,
6.386881,5.313155,7.460607,1.5,,,m1,hep-ph,m6,,,,,
7.31313,6.077199,8.549062,2,,,m1,hep-ph,m6,,,,,
8.364368,6.54013,10.18861,2.5,,,m1,hep-ph,m6,,,,,
9.565303,6.772528,12.35808,3,,,m1,hep-ph,m6,,,,,
10.93845,6.822499,15.0544,3.5,,,m1,hep-ph,m6,,,,,
12.50869,6.687225,18.33016,4,,,m1,hep-ph,m6,,,,,
14.30434,6.336769,22.2719,4.5,,,m1,hep-ph,m6,,,,,
16.35775,5.724281,26.99122,5,,,m1,hep-ph,m6,,,,,
1.7993,1.185245,2.413355,0,0,,m2,hep-ph,m6,,,,,
4.926391,3.564782,6.288,0,2,,m2,hep-ph,m6,,,,,
9.713539,7.208963,12.21811,0,5,,m2,hep-ph,m6,,,,,
2.708924,2.12232,3.295527,0.5,0,,m2,hep-ph,m6,,,,,
5.328045,4.241505,6.414586,0.5,2,,m2,hep-ph,m6,,,,,
10.50549,8.497808,12.51318,0.5,5,,m2,hep-ph,m6,,,,,
3.380776,2.82569,3.935861,1,0,,m2,hep-ph,m6,,,,,
5.762447,4.947879,6.577015,1,2,,m2,hep-ph,m6,,,,,
11.36202,9.764797,12.95924,1,5,,m2,hep-ph,m6,,,,,
3.855919,3.332347,4.379491,1.5,0,,m2,hep-ph,m6,,,,,
6.232266,5.56168,6.902851,1.5,2,,m2,hep-ph,m6,,,,,
12.28838,10.72428,13.85248,1.5,5,,m2,hep-ph,m6,,,,,
4.247424,3.634994,4.859854,2,0,,m2,hep-ph,m6,,,,,
6.740389,5.877903,7.602875,2,2,,m2,hep-ph,m6,,,,,
13.29026,11.15386,15.42667,2,5,,m2,hep-ph,m6,,,,,
4.62204,3.74944,5.49464,2.5,0,,m2,hep-ph,m6,,,,,
7.289941,5.938465,8.641417,2.5,2,,m2,hep-ph,m6,,,,,
14.37383,11.20245,17.54522,2.5,5,,m2,hep-ph,m6,,,,,
5.009093,3.746239,6.271946,3,0,,m2,hep-ph,m6,,,,,
7.884298,5.865468,9.903129,3,2,,m2,hep-ph,m6,,,,,
15.54575,11.02089,20.07061,3,5,,m2,hep-ph,m6,,,,,
5.421151,3.667168,7.175133,3.5,0,,m2,hep-ph,m6,,,,,
8.527114,5.699484,11.35474,3.5,2,,m2,hep-ph,m6,,,,,
16.81321,10.65947,22.96696,3.5,5,,m2,hep-ph,m6,,,,,
5.864453,3.52586,8.203045,4,0,,m2,hep-ph,m6,,,,,
9.22234,5.447279,12.9974,4,2,,m2,hep-ph,m6,,,,,
18.18401,10.12537,26.24265,4,5,,m2,hep-ph,m6,,,,,
6.343057,3.323769,9.362344,4.5,0,,m2,hep-ph,m6,,,,,
9.974248,5.104659,14.84384,4.5,2,,m2,hep-ph,m6,,,,,
19.66658,9.408956,29.9242,4.5,5,,m2,hep-ph,m6,,,,,
6.860381,3.057127,10.66363,5,0,,m2,hep-ph,m6,,,,,
10.78746,4.662766,16.91215,5,2,,m2,hep-ph,m6,,,,,
21.27002,8.492368,34.04766,5,5,,m2,hep-ph,m6,,,,,
5.113061,3.886453,6.339668,0,,,m1,astro,m6,,,,,
7.927104,6.147236,9.706972,0.5,,,m1,astro,m6,,,,,
9.98255,7.827031,12.13807,1,,,m1,astro,m6,,,,,
12.09485,9.614271,14.57544,1.5,,,m1,astro,m6,,,,,
14.56981,11.51695,17.62267,2,,,m1,astro,m6,,,,,
17.53673,13.45488,21.61858,2.5,,,m1,astro,m6,,,,,
21.10534,15.3924,26.81829,3,,,m1,astro,m6,,,,,
25.39972,17.31745,33.482,3.5,,,m1,astro,m6,,,,,
30.56783,19.20691,41.92875,4,,,m1,astro,m6,,,,,
36.78748,21.01116,52.56379,4.5,,,m1,astro,m6,,,,,
44.27264,22.6473,65.89797,5,,,m1,astro,m6,,,,,
4.316136,2.989543,5.642729,0,0,,m2,astro,m6,,,,,
9.33296,6.202663,12.46326,0,2,,m2,astro,m6,,,,,
14.67599,7.110965,22.24101,0,5,,m2,astro,m6,,,,,
6.682212,4.788825,8.5756,0.5,0,,m2,astro,m6,,,,,
10.38369,7.10683,13.66055,0.5,2,,m2,astro,m6,,,,,
16.18733,7.924761,24.44991,0.5,5,,m2,astro,m6,,,,,
8.224208,6.006028,10.44239,1,0,,m2,astro,m6,,,,,
11.47784,8.029181,14.92651,1,2,,m2,astro,m6,,,,,
17.85404,8.671813,27.03627,1,5,,m2,astro,m6,,,,,
9.345526,6.979545,11.71151,1.5,0,,m2,astro,m6,,,,,
12.66651,8.901614,16.43141,1.5,2,,m2,astro,m6,,,,,
19.69228,9.316369,30.06819,1.5,5,,m2,astro,m6,,,,,
10.38668,7.815508,12.95786,2,0,,m2,astro,m6,,,,,
13.97254,9.662938,18.28215,2,2,,m2,astro,m6,,,,,
